stage,stage_name,stage9_sublayer,artifact_path,artifact_title,deliverable_form,participant_status
1,Mandate & Field Immersion,,participant_artifacts/01_mandate_and_field_immersion/engagement-charter.md,Engagement Charter,Structured narrative + evidence table,NOT STARTED
1,Mandate & Field Immersion,,participant_artifacts/01_mandate_and_field_immersion/scope.md,Scope,Structured narrative + evidence table,NOT STARTED
1,Mandate & Field Immersion,,participant_artifacts/01_mandate_and_field_immersion/outcome-statement.md,Outcome Statement,Structured narrative + evidence table,NOT STARTED
1,Mandate & Field Immersion,,participant_artifacts/01_mandate_and_field_immersion/sponsor-owner.md,Sponsor / Owner,Structured narrative + evidence table,NOT STARTED
1,Mandate & Field Immersion,,participant_artifacts/01_mandate_and_field_immersion/governance-raci.md,Governance RACI,Structured narrative + evidence table,NOT STARTED
1,Mandate & Field Immersion,,participant_artifacts/01_mandate_and_field_immersion/stakeholder-and-affected-groups-map.md,Stakeholder and Affected-Groups Map,Structured analysis / specification,NOT STARTED
1,Mandate & Field Immersion,,participant_artifacts/01_mandate_and_field_immersion/field-evidence-register.md,Field Evidence Register,Structured table / register,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/sipoc.md,SIPOC,Structured narrative + evidence table,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/process-value-stream-map.md,Process / Value-Stream Map,Structured analysis / specification,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/waste-register.md,Waste Register,Structured table / register,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/system-landscape.md,System Landscape,Structured narrative + evidence table,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/brownfield-assessment.md,Brownfield Assessment,Structured analysis / specification,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/current-state-c4-views.md,Current-State C4 Views,Diagram + supporting table + rationale,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/dependencies.md,Dependencies,Structured table / register,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/data-flows.md,Data Flows,Diagram + supporting table + rationale,NOT STARTED
2,Discover Process & Architecture,,participant_artifacts/02_discover_process_and_architecture/trust-boundaries.md,Current-State Trust Boundaries,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/scqa-problem-frame.md,SCQA Problem Frame,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/root-cause-analysis.md,Root-Cause Analysis,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/baseline-dataset.csv,Baseline Dataset,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/kpi-tree.md,KPI Tree,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/ctqs.md,Critical-to-Quality Measures,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/value-hypothesis.md,Value Hypothesis,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/counter-metrics.md,Counter-Metrics,Structured narrative + evidence table,NOT STARTED
3,"Frame Problem, Root Cause & Value",,participant_artifacts/03_frame_problem_root_cause_and_value/success-failure-criteria.md,Success / Failure Criteria,Structured analysis / specification,NOT STARTED
4,Triage Regulation & Qualify Use Case,,participant_artifacts/04_triage_regulation_and_qualify_use_case/impact-regulatory-screen.md,Impact / Regulatory Screen,Structured analysis / specification,NOT STARTED
4,Triage Regulation & Qualify Use Case,,participant_artifacts/04_triage_regulation_and_qualify_use_case/prohibited-use-check.md,Prohibited-Use Check,Structured analysis / specification,NOT STARTED
4,Triage Regulation & Qualify Use Case,,participant_artifacts/04_triage_regulation_and_qualify_use_case/ai-suitability-assessment.md,AI Suitability Assessment,Structured analysis / specification,NOT STARTED
4,Triage Regulation & Qualify Use Case,,participant_artifacts/04_triage_regulation_and_qualify_use_case/non-ai-alternative.md,Non-AI Alternative Assessment,Structured narrative + evidence table,NOT STARTED
4,Triage Regulation & Qualify Use Case,,participant_artifacts/04_triage_regulation_and_qualify_use_case/use-case-card.md,Use-Case Card,Structured narrative + evidence table,NOT STARTED
4,Triage Regulation & Qualify Use Case,,participant_artifacts/04_triage_regulation_and_qualify_use_case/value-risk-feasibility-matrix.md,Value-Risk-Feasibility Matrix,Structured table / register,NOT STARTED
4,Triage Regulation & Qualify Use Case,,participant_artifacts/04_triage_regulation_and_qualify_use_case/go-no-go-kill-criteria.md,Go / No-Go / Kill Criteria,Structured analysis / specification,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/ubiquitous-language-glossary.md,Ubiquitous-Language Glossary,Structured table / register,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/domain-capability-map.md,Domain Capability Map,Structured analysis / specification,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/business-rules.md,Business Rules,Structured table / register,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/decision-model.md,Decision Model,Structured analysis / specification,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/domain-events.md,Domain Events,Structured table / register,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/ownership-map.md,Ownership Map,Structured analysis / specification,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/ddd-context-map.md,DDD Context Map,Diagram + supporting table + rationale,NOT STARTED
5,Model the Domain,,participant_artifacts/05_model_the_domain/bounded-contexts.md,Bounded Contexts,Structured narrative + evidence table,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/data-knowledge-inventory.md,Data / Knowledge Inventory,Structured table / register,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/lineage.md,Lineage,Structured narrative + evidence table,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/quality-profile.md,Quality Profile,Structured analysis / specification,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/provenance-baseline.md,Provenance Baseline,Structured narrative + evidence table,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/permissible-use-access-matrix.md,Permissible-Use / Access Matrix,Structured table / register,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/representativeness-assessment.md,Representativeness Assessment,Structured analysis / specification,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/data-gap-register.md,Data-Gap Register,Structured table / register,NOT STARTED
6,Qualify Data & Knowledge,,participant_artifacts/06_qualify_data_and_knowledge/dataset-datasheets.md,Dataset Datasheets,Structured table / register,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/evaluation-strategy.md,Evaluation Strategy,Structured analysis / specification,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/golden-set-specification.md,Golden-Set Specification,Structured analysis / specification,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/evaluation-scenarios.md,Evaluation Scenarios,Structured narrative + evidence table,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/acceptance-thresholds.md,Acceptance Thresholds,Structured narrative + evidence table,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/ai-impact-assessment.md,AI Impact Assessment,Structured analysis / specification,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/risk-harms-register.md,Risk / Harms Register,Structured table / register,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/risk-treatment-plan.md,Risk Treatment Plan,Structured narrative + evidence table,NOT STARTED
7,"Define Evaluations, Impacts & Risks",,participant_artifacts/07_define_evaluations_impacts_and_risks/oversight-transparency-requirements.md,Oversight / Transparency Requirements,Structured analysis / specification,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/solution-catalogue.md,Solution Catalogue,Structured table / register,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/reference-architecture-comparison.md,Reference-Architecture Comparison,Diagram + supporting table + rationale,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/poc-model-rag-results.md,PoC / Model / RAG Results,Structured analysis / specification,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/weighted-tradeoff-matrix.md,Weighted Trade-Off Matrix,Structured table / register,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/build-buy-compose-assessment.md,Build / Buy / Compose Assessment,Structured analysis / specification,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/provider-comparison.md,Provider Comparison,Structured narrative + evidence table,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/preliminary-adrs.md,Preliminary ADRs,ADR / decision record,NOT STARTED
8,"Generate, Test & Select Options",,participant_artifacts/08_generate_test_and_select_options/selected-solution.md,Selected Solution,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",A. Enterprise Source Layer,participant_artifacts/09_information_knowledge_and_retrieval_architecture/enterprise-source-authority-and-freshness-model.md,Enterprise Source Authority & Freshness Model,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",A. Enterprise Source Layer,participant_artifacts/09_information_knowledge_and_retrieval_architecture/data-ownership-map.md,Data Ownership Map,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",A. Enterprise Source Layer,participant_artifacts/09_information_knowledge_and_retrieval_architecture/source-to-canonical-mapping.md,Source-to-Canonical Mapping,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",A. Enterprise Source Layer,participant_artifacts/09_information_knowledge_and_retrieval_architecture/target-information-trust-boundaries.md,Target Information Trust Boundaries,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",A. Enterprise Source Layer,participant_artifacts/09_information_knowledge_and_retrieval_architecture/data-contracts.md,Data Contracts,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",B. Semantic Foundation,participant_artifacts/09_information_knowledge_and_retrieval_architecture/semantic-model.md,Semantic Model / Semantic Layer,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",B. Semantic Foundation,participant_artifacts/09_information_knowledge_and_retrieval_architecture/canonical-entity-model.md,Canonical Entity Model,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",B. Semantic Foundation,participant_artifacts/09_information_knowledge_and_retrieval_architecture/canonical-identifier-strategy.md,Canonical Identifier Strategy,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",B. Semantic Foundation,participant_artifacts/09_information_knowledge_and_retrieval_architecture/metric-dimension-semantic-map.md,Metric / Dimension Semantic Map,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",B. Semantic Foundation,participant_artifacts/09_information_knowledge_and_retrieval_architecture/ontology.md,Ontology,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",B. Semantic Foundation,participant_artifacts/09_information_knowledge_and_retrieval_architecture/taxonomies.md,Taxonomies,Structured table / register,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",B. Semantic Foundation,participant_artifacts/09_information_knowledge_and_retrieval_architecture/semantic-constraints.md,Semantic Constraints,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",C. Connected Knowledge,participant_artifacts/09_information_knowledge_and_retrieval_architecture/knowledge-graph-schema.md,Knowledge Graph Schema,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",C. Connected Knowledge,participant_artifacts/09_information_knowledge_and_retrieval_architecture/entity-resolution-specification.md,Entity Resolution Specification,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",C. Connected Knowledge,participant_artifacts/09_information_knowledge_and_retrieval_architecture/knowledge-extraction-specification.md,Knowledge Extraction Specification,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",C. Connected Knowledge,participant_artifacts/09_information_knowledge_and_retrieval_architecture/entity-relationship-model.md,Entity / Relationship Model,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",C. Connected Knowledge,participant_artifacts/09_information_knowledge_and_retrieval_architecture/provenance-evidence-linkage-model.md,Provenance / Evidence Linkage Model,Structured analysis / specification,NOT STARTED
