event_id,vessel_id,route_region,event_type,plan_time_minutes,duplicate_reconciliation,late_constraint_revision,blackout_minutes,rationale_trace_missing,api_retries,navigation_restricted,shore_link_available,adjudicated_recovery_class
EVT-0001,V-06,MED,cargo,285,0,0,14,0,14,0,1,slow_speed
EVT-0002,V-14,NATL,cargo,96,0,0,0,0,19,0,1,slow_speed
EVT-0003,V-15,SEA,bunker,34,0,1,85,0,32,0,1,reroute
EVT-0004,V-16,MED,bunker,110,1,0,98,0,46,0,1,reroute
EVT-0005,V-19,SEA,crew,48,0,1,60,0,36,0,1,continue
EVT-0006,V-15,MED,machinery,282,0,1,21,0,0,0,1,reroute
EVT-0007,V-23,GULF,crew,89,0,1,0,0,11,0,1,shore_review
EVT-0008,V-05,SEA,weather,97,0,0,34,0,13,0,0,reroute
EVT-0009,V-21,SEA,crew,141,1,0,127,0,49,0,1,continue
EVT-0010,V-01,NATL,bunker,77,0,0,93,1,55,0,1,shore_review
EVT-0011,V-06,NATL,machinery,45,0,1,34,0,34,0,1,port_hold
EVT-0012,V-12,MED,crew,150,1,0,61,0,12,0,0,continue
EVT-0013,V-15,MED,cargo,47,0,0,0,0,40,0,1,port_hold
EVT-0014,V-07,NATL,crew,126,0,0,0,0,26,0,1,slow_speed
EVT-0015,V-24,MED,port,44,0,0,103,0,24,0,1,reroute
EVT-0016,V-22,NATL,machinery,89,0,0,58,1,16,0,0,shore_review
EVT-0017,V-08,GULF,port,34,0,1,73,0,39,0,1,shore_review
EVT-0018,V-04,NATL,cargo,214,1,0,19,0,30,0,1,port_hold
EVT-0019,V-27,GULF,cargo,78,0,0,107,0,2,0,1,shore_review
EVT-0020,V-14,SEA,weather,79,0,0,8,1,40,0,1,reroute
EVT-0021,V-20,MED,weather,44,0,1,115,0,53,0,1,port_hold
EVT-0022,V-27,MED,weather,104,0,1,39,0,24,0,1,reroute
EVT-0023,V-20,SEA,machinery,93,0,0,42,0,69,0,1,port_hold
EVT-0024,V-18,GULF,cargo,47,0,0,68,0,35,0,1,continue
EVT-0025,V-05,GULF,crew,58,0,0,116,1,28,0,1,shore_review
EVT-0026,V-03,MED,bunker,24,0,0,11,0,41,0,1,continue
EVT-0027,V-21,NATL,crew,127,0,1,164,1,19,0,1,port_hold
EVT-0028,V-02,MED,crew,45,0,1,88,0,50,0,1,continue
EVT-0029,V-19,GULF,machinery,126,0,1,56,0,67,0,1,reroute
EVT-0030,V-16,NATL,machinery,63,0,0,98,0,30,0,1,continue
EVT-0031,V-24,NATL,crew,82,1,0,38,0,52,1,1,slow_speed
EVT-0032,V-29,GULF,crew,20,1,0,0,0,36,0,1,slow_speed
EVT-0033,V-05,GULF,weather,47,0,0,0,0,4,0,1,continue
EVT-0034,V-20,GULF,cargo,35,0,0,92,0,28,0,0,port_hold
EVT-0035,V-07,MED,crew,17,0,0,95,0,70,0,1,port_hold
EVT-0036,V-01,MED,port,248,0,1,0,0,63,1,0,continue
EVT-0037,V-04,SEA,machinery,105,0,0,35,0,38,0,1,port_hold
EVT-0038,V-26,MED,machinery,54,0,0,51,0,73,0,1,slow_speed
EVT-0039,V-30,GULF,bunker,67,1,0,42,0,29,0,1,continue
EVT-0040,V-28,GULF,cargo,186,0,0,26,0,67,0,1,shore_review
EVT-0041,V-15,GULF,crew,41,0,0,13,0,87,0,1,shore_review
EVT-0042,V-30,MED,weather,53,0,0,6,0,43,0,1,port_hold
EVT-0043,V-02,GULF,bunker,77,0,0,0,0,40,0,1,continue
EVT-0044,V-19,NATL,cargo,33,0,0,89,0,5,0,1,reroute
EVT-0045,V-04,MED,weather,22,0,0,89,0,24,0,1,continue
EVT-0046,V-27,MED,port,104,0,1,94,0,56,0,1,slow_speed
EVT-0047,V-11,MED,machinery,42,0,0,65,0,26,0,1,slow_speed
EVT-0048,V-30,SEA,weather,54,0,1,0,1,58,0,1,shore_review
EVT-0049,V-10,SEA,bunker,121,0,1,163,1,36,1,1,shore_review
EVT-0050,V-30,SEA,machinery,43,0,0,0,0,20,0,1,shore_review
EVT-0051,V-19,GULF,bunker,35,0,0,121,0,29,1,1,slow_speed
EVT-0052,V-15,MED,machinery,47,1,0,0,0,0,0,1,port_hold
EVT-0053,V-20,NATL,crew,81,0,0,77,0,43,0,1,continue
