vessel_id,imo_number,vessel_name,flag,vessel_class,fleet_group,edge_agent_version,clock_offset_seconds
V-06,IMO9301001,MV Aster,LR,PANAMAX,FLEET-A,4.6.2,0
V-14,IMO9301002,MV Borealis,MH,PANAMAX,FLEET-A,4.6.2,0
V-15,IMO9301003,MV Cygnus,PA,HANDYSIZE,FLEET-A,4.6.2,0
V-16,IMO9301004,MV Delta,SG,PANAMAX,FLEET-A,4.6.2,0
V-19,IMO9301005,MV Equinox,LR,PANAMAX,FLEET-A,4.6.2,30
V-21,IMO9301006,MV Fjord,MH,HANDYSIZE,FLEET-A,4.6.2,0
V-22,IMO9301007,MV Gemini,PA,PANAMAX,FLEET-A,4.6.2,0
V-24,IMO9301008,MV Horizon,SG,PANAMAX,FLEET-A,4.6.2,0
V-27,IMO9301009,MV Ion,LR,HANDYSIZE,FLEET-B,4.6.2,0
V-28,IMO9301010,MV Juno,MH,PANAMAX,FLEET-B,4.6.2,30
V-30,IMO9301011,MV Kestrel,PA,PANAMAX,FLEET-B,4.6.2,0
V-31,IMO9301012,MV Lyra,SG,HANDYSIZE,FLEET-B,4.6.2,0
V-33,IMO9301013,MV Meridian,LR,PANAMAX,FLEET-B,4.6.2,420
V-35,IMO9301014,MV Nimbus,MH,PANAMAX,FLEET-B,4.5.9,0
V-36,IMO9301015,MV Orion,PA,HANDYSIZE,FLEET-B,4.6.2,30
