canonical_type,canonical_id,source,source_id,match_features,match_status,confidence,notes
Vessel,V-06,FLEET_REGISTRY,V-06,imo=IMO9301001;name=MV Aster,CONFIRMED,1.00,internal master
Vessel,V-06,AIS_PROVIDER_A,IMO9301001,imo=IMO9301001,CONFIRMED,0.99,
Vessel,V-14,FLEET_REGISTRY,V-14,imo=IMO9301002;name=MV Borealis,CONFIRMED,1.00,internal master
Vessel,V-14,AIS_PROVIDER_A,IMO9301002,imo=IMO9301002,CONFIRMED,0.99,
Vessel,V-15,FLEET_REGISTRY,V-15,imo=IMO9301003;name=MV Cygnus,CONFIRMED,1.00,internal master
Vessel,V-15,AIS_PROVIDER_A,IMO9301003,imo=IMO9301003,CONFIRMED,0.99,
Vessel,V-16,FLEET_REGISTRY,V-16,imo=IMO9301004;name=MV Delta,CONFIRMED,1.00,internal master
Vessel,V-16,AIS_PROVIDER_A,IMO9301994,name=MV DELTA STAR;route=GULF;position_near_expected,AMBIGUOUS,0.62,requires adjudication; do not silently merge
Vessel,V-19,FLEET_REGISTRY,V-19,imo=IMO9301005;name=MV Equinox,CONFIRMED,1.00,internal master
Vessel,V-19,AIS_PROVIDER_A,IMO9301005,imo=IMO9301005,CONFIRMED,0.99,
Vessel,V-21,FLEET_REGISTRY,V-21,imo=IMO9301006;name=MV Fjord,CONFIRMED,1.00,internal master
Vessel,V-21,AIS_PROVIDER_A,IMO9301006,imo=IMO9301006,CONFIRMED,0.99,
Vessel,V-22,FLEET_REGISTRY,V-22,imo=IMO9301007;name=MV Gemini,CONFIRMED,1.00,internal master
Vessel,V-22,AIS_PROVIDER_A,IMO9301007,imo=IMO9301007,CONFIRMED,0.99,
Vessel,V-24,FLEET_REGISTRY,V-24,imo=IMO9301008;name=MV Horizon,CONFIRMED,1.00,internal master
Vessel,V-24,AIS_PROVIDER_A,IMO9301008,imo=IMO9301008,CONFIRMED,0.99,
Vessel,V-27,FLEET_REGISTRY,V-27,imo=IMO9301009;name=MV Ion,CONFIRMED,1.00,internal master
Vessel,V-27,AIS_PROVIDER_A,IMO9301009,imo=IMO9301009,CONFIRMED,0.99,
Vessel,V-28,FLEET_REGISTRY,V-28,imo=IMO9301010;name=MV Juno,CONFIRMED,1.00,internal master
Vessel,V-28,AIS_PROVIDER_A,IMO9301010,imo=IMO9301010,CONFIRMED,0.99,
Vessel,V-30,FLEET_REGISTRY,V-30,imo=IMO9301011;name=MV Kestrel,CONFIRMED,1.00,internal master
Vessel,V-30,AIS_PROVIDER_A,IMO9301011,imo=IMO9301011,CONFIRMED,0.99,
Vessel,V-31,FLEET_REGISTRY,V-31,imo=IMO9301012;name=MV Lyra,CONFIRMED,1.00,internal master
Vessel,V-31,AIS_PROVIDER_A,IMO9301012,imo=IMO9301012,CONFIRMED,0.99,
Vessel,V-33,FLEET_REGISTRY,V-33,imo=IMO9301013;name=MV Meridian,CONFIRMED,1.00,internal master
Vessel,V-33,AIS_PROVIDER_A,IMO9301013,imo=IMO9301013,CONFIRMED,0.99,
Vessel,V-35,FLEET_REGISTRY,V-35,imo=IMO9301014;name=MV Nimbus,CONFIRMED,1.00,internal master
Vessel,V-35,AIS_PROVIDER_A,IMO9301014,imo=IMO9301014,CONFIRMED,0.99,
Vessel,V-36,FLEET_REGISTRY,V-36,imo=IMO9301015;name=MV Orion,CONFIRMED,1.00,internal master
Vessel,V-36,AIS_PROVIDER_A,IMO9301015,imo=IMO9301015,CONFIRMED,0.99,
