outcome_id,case_id,voyage_id,arrival_variance_minutes,safety_incident,duplicate_action,commercial_cost_index,post_event_review_status
OUT-001,MFD-L001,VOY-260915-01,42,NO,NO,83,ADJUDICATED
OUT-002,MFD-L002,VOY-260915-02,-8,NO,NO,86,ADJUDICATED
OUT-003,MFD-L003,VOY-260915-03,75,NO,NO,89,PENDING
OUT-004,MFD-L004,VOY-260915-04,31,NO,NO,92,ADJUDICATED
OUT-005,MFD-L005,VOY-260915-05,15,NO,NO,95,ADJUDICATED
OUT-006,MFD-L006,VOY-260915-06,42,NO,NO,98,PENDING
OUT-007,MFD-L007,VOY-260915-07,-8,NO,NO,101,ADJUDICATED
OUT-008,MFD-L008,VOY-260915-08,75,NO,NO,104,ADJUDICATED
OUT-009,MFD-L009,VOY-260915-09,31,NO,NO,107,PENDING
OUT-010,MFD-L010,VOY-260915-10,15,NO,NO,110,ADJUDICATED
OUT-011,MFD-L011,VOY-260915-11,42,NO,NO,113,ADJUDICATED
OUT-012,MFD-L012,VOY-260915-12,-8,NO,NO,116,PENDING
OUT-013,MFD-L013,VOY-260915-13,75,NO,NO,119,ADJUDICATED
OUT-014,MFD-L014,VOY-260915-14,31,NO,NO,122,ADJUDICATED
OUT-015,MFD-L015,VOY-260915-15,15,NO,NO,125,PENDING
